阿根廷	a gen ting
越是	yue shi
约束	yue shu
约为	yue wei
月薪	yue xin
越野车	yue ye che
粤语	yue yu
约占	yue zhan
越职	yue zhi
月至	yue zhi
运动	yun dong
运动员	yun dong yuan
运费	yun fei
孕妇	yun fu
云南	yun nan
云南省	yun nan sheng
运气	yun qi
运输	yun shu
运算	yun suan
运行	yun xing
运行环境	yun xing huan jing
运行平台	yun xing ping tai
允许	yun xu
运营	yun ying
运营商	yun ying shang
运用	yun yong
运转	yun zhuan
运作	yun zuo
杂志	za zhi
杂志社	za zhi she
再把	zai ba
在被	zai bei
在北京	zai bei jing
在不同	zai bu tong
在产品	zai chan pin
再尝试	zai chang shi
再次	zai ci
在此	zai ci
在当地	zai dang di
再到	zai dao
在地	zai di
再度	zai du
在对	zai dui
在高	zai gao
在公司	zai gong si
在工作	zai gong zuo
在广州	zai guang zhou
在国际	zai guo ji
在国家	zai guo jia
在国内	zai guo nei
在过去	zai guo qu
在国外	zai guo wai
灾害	zai hai
在乎	zai hu
在家	zai jia
再加	zai jia
在家里	zai jia li
再加上	zai jia shang
再见	zai jian
再将	zai jiang
在接受	zai jie shou
在今年	zai jin nian
在进行	zai jin xing
在经济	zai jing ji
再就业	zai jiu ye
再看	zai kan
再来	zai lai
在没有	zai mei you
在那	zai na
在那里	zai na li
在哪里	zai na li
灾难	zai nan
在内	zai nei
在你	zai ni
在您	zai nin
栽培	zai pei
在其	zai qi
在企业	zai qi ye
在前	zai qian
再去	zai qu
在全球	zai quan qiu
在人	zai ren
在日本	zai ri ben
载入	zai ru
在上	zai shang
在社会	zai she hui
在深圳	zai shen zhen
再生	zai sheng
在生产	zai sheng chan
在市场	zai shi chang
在实际	zai shi ji
在世界	zai shi jie
在使用	zai shi yong
再说	zai shuo
在他	zai ta
在她	zai ta
载体	zai ti
在外	zai wai
在网络	zai wang luo
在网上	zai wang shang
在网站	zai wang zhan
在为	zai wei
在未来	zai wei lai
在我	zai wo
在我国	zai wo guo
在我们的	zai wo men de
在下	zai xia
在线	zai xian
再现	zai xian
在线时间	zai xian shi jian
在想	zai xiang
在香港	zai xiang gang
在校	zai xiao
再新	zai xin
在学校	zai xue xiao
再也	zai ye
在意	zai yi
再一次	zai yi ci
在一定	zai yi ding
在一起	zai yi qi
在一些	zai yi xie
再用	zai yong
再有	zai you
在于	zai yu
在与	zai yu
在这	zai zhe
在这方面	zai zhe fang mian
在这个	zai zhe ge
在这里	zai zhe li
在这里的	zai zhe li de
在这些	zai zhe xie
在这样的	zai zhe yang de
在这种	zai zhe zhong
在整个	zai zheng ge
在职	zai zhi
在中	zai zhong
在中国	zai zhong guo
在自己	zai zi ji
在做	zai zuo
赞美	zan mei
咱们	zan men
暂时	zan shi
暂时没有	zan shi mei you
暂停	zan ting
赞同	zan tong
暂无	zan wu
赞助	zan zhu
藏族	zang zu
早餐	zao can
早餐后	zao can hou
早晨	zao chen
造成	zao cheng
造成了	zao cheng le
遭到	zao dao
早点	zao dian
造访	zao fang
造价	zao jia
早就	zao jiu
造就	zao jiu
早期	zao qi
早日	zao ri
早上	zao shang
噪声	zao sheng
遭受	zao shou
早晚	zao wan
造型	zao xing
早已	zao yi
噪音	zao yin
遭遇	zao yu
早在	zao zai
则不	ze bu
则会	ze hui
则可	ze ke
责令	ze ling
责任	ze ren
责任编辑	ze ren bian ji
责任感	ze ren gan
责任人	ze ren ren
责任制	ze ren zhi
则是	ze shi
则为	ze wei
则有	ze you
则在	ze zai
怎么	zen me
怎么办	zen me ban
怎么会	zen me hui
怎么回事	zen me hui shi
怎么了	zen me le
怎么样	zen me yang
怎么也	zen me ye
怎样	zen yang
增大	zeng da
增多	zeng duo
增幅	zeng fu
增高	zeng gao
增加	zeng jia
增加到	zeng jia dao
增加了	zeng jia le
增进	zeng jin
增强	zeng qiang
增强了	zeng qiang le
增收	zeng shou
赠送	zeng song
增速	zeng su
增添	zeng tian
增长	zeng zhang
增长了	zeng zhang le
增长率	zeng zhang lv
增值	zeng zhi
增值税	zeng zhi shui
炸弹	zha dan
扎实	zha shi
债券	zhai quan
债权	zhai quan
债权人	zhai quan ren
债务	zhai wu
债务人	zhai wu ren
摘要	zhai yao
摘自	zhai zi
战场	zhan chang
站成	zhan cheng
展出	zhan chu
占到	zhan dao
站的	zhan de
占地	zhan di
占地面积	zhan di mian ji
站点	zhan dian
战斗	zhan dou
战斗力	zhan dou li
展会	zhan hui
占据	zhan ju
展开	zhan kai
展览	zhan lan
展览会	zhan lan hui
占了	zhan le
站了	zhan le
占领	zhan ling
战略	zhan lve
站内	zhan nei
站起来	zhan qi lai
展区	zhan qu
战胜	zhan sheng
展示	zhan shi
战士	zhan shi
战时	zhan shi
展示了	zhan shi le
战术	zhan shu
粘贴	zhan tie
展位	zhan wei
展现	zhan xian
崭新的	zhan xin de
战役	zhan yi
占用	zhan yong
占有	zhan you
站在	zhan zai
站长	zhan zhang
站着	zhan zhe
战争	zhan zheng
障碍	zhang ai
章程	zhang cheng
长大	zhang da
长得	zhang de
长得快	zhang de kuai
丈夫	zhang fu
涨幅	zhang fu
账号	zhang hao
账户	zhang hu
涨价	zhang jia
章节	zhang jie
长老	zhang lao
帐篷	zhang peng
掌声	zhang sheng
掌握	zhang wo
掌握了	zhang wo le
招标	zhao biao
招标文件	zhao biao wen jian
找不到	zhao bu dao
找出	zhao chu
找到	zhao dao
找到了	zhao dao le
找个	zhao ge
找工作	zhao gong zuo
照顾	zhao gu
招呼	zhao hu
召唤	zhao huan
着急	zhao ji
召开	zhao kai
召开了	zhao kai le
找了	zhao le
照明	zhao ming
招募	zhao mu
招牌	zhao pai
照片	zhao pian
招聘	zhao pin
招聘会	zhao pin hui
招聘人数	zhao pin ren shu
招聘信息	zhao pin xin xi
招聘职位	zhao pin zhi wei
招商	zhao shang
招商引资	zhao shang yin zi
招生	zhao sheng
招收	zhao shou
招投标	zhao tou biao
找我	zhao wo
朝阳	zhao yang
这本	zhe ben
这边	zhe bian
这部	zhe bu
这不	zhe bu
这部分	zhe bu fen
这不是	zhe bu shi
这才	zhe cai
这场	zhe chang
这次	zhe ci
这点	zhe dian
这段	zhe duan
这对	zhe dui
这对于	zhe dui yu
这儿	zhe er
这方面	zhe fang mian
这方面的	zhe fang mian de
这份	zhe fen
这个	zhe ge
这个人	zhe ge ren
这个时候	zhe ge shi hou
这个世界	zhe ge shi jie
这个问题	zhe ge wen ti
这话	zhe hua
这几天	zhe ji tian
这家	zhe jia
这件事	zhe jian shi
浙江	zhe jiang
这将	zhe jiang
浙江省	zhe jiang sheng
这就	zhe jiu
这就去	zhe jiu qu
这就是	zhe jiu shi
这句话	zhe ju hua
这可	zhe ke
折扣	zhe kou
这块	zhe kuai
这款	zhe kuan
这类	zhe lei
这里	zhe li
这里是	zhe li shi
这里有	zhe li you
这两个	zhe liang ge
这两种	zhe liang zhong
这么	zhe me
这么多	zhe me duo
这么说	zhe me shuo
折磨	zhe mo
这篇	zhe pian
这片	zhe pian
这篇文章	zhe pian wen zhang
这让	zhe rang
这三个	zhe san ge
这是	zhe shi
这时	zhe shi
这事	zhe shi
这是个	zhe shi ge
这时候	zhe shi hou
这是一个	zhe shi yi ge
这是一种	zhe shi yi zhong
这是因为	zhe shi yin wei
这套	zhe tao
这天	zhe tian
这条	zhe tiao
这位	zhe wei
这项	zhe xiang
这些	zhe xie
这些都	zhe xie dou
这些都是	zhe xie dou shi
这些人	zhe xie ren
这些问题	zhe xie wen ti
哲学	zhe xue
这样	zhe yang
这样才能	zhe yang cai neng
这样就	zhe yang jiu
这样说	zhe yang shuo
这样一个	zhe yang yi ge
这样一来	zhe yang yi lai
这样做	zhe yang zuo
这也	zhe ye
者也	zhe ye
这也是	zhe ye shi
这一	zhe yi
这一次	zhe yi ci
这一点	zhe yi dian
这一切	zhe yi qie
这一天	zhe yi tian
这意味着	zhe yi wei zhe
这与	zhe yu
这在	zhe zai
这张	zhe zhang
这只	zhe zhi
这种	zhe zhong
这种方法	zhe zhong fang fa
这种方式	zhe zhong fang shi
这种情况	zhe zhong qing kuang
这座	zhe zuo
真诚	zhen cheng
真诚的	zhen cheng de
真的	zhen de
真的很	zhen de hen
真的是	zhen de shi
震动	zhen dong
诊断	zhen duan
针对	zhen dui
针对性	zhen dui xing
珍贵	zhen gui
震撼	zhen han
镇江	zhen jiang
真空	zhen kong
真理	zhen li
诊疗	zhen liao
真情	zhen qing
真人	zhen ren
真是	zhen shi
真实的	zhen shi de
真实性	zhen shi xing
珍惜	zhen xi
真相	zhen xiang
真心	zhen xin
振兴	zhen xing
真正	zhen zheng
珍珠	zhen zhu
正版	zheng ban
政策	zheng ce
正常	zheng chang
正常使用	zheng chang shi yong
整车	zheng che
正当	zheng dang
政党	zheng dang
正的	zheng de
征得	zheng de
征地	zheng di
整顿	zheng dun
争夺	zheng duo
政府	zheng fu
征服	zheng fu
政府部门	zheng fu bu men
政府采购	zheng fu cai gou
整改	zheng gai
整个	zheng ge
正规	zheng gui
正好	zheng hao
整合	zheng he
征集	zheng ji
整机	zheng ji
证件	zheng jian
整洁	zheng jie
拯救	zheng jiu
证据	zheng ju
整理	zheng li
争论	zheng lun
正面	zheng mian
证明	zheng ming
证明材料	zheng ming cai liao
证明了	zheng ming le
整齐	zheng qi
蒸气	zheng qi
蒸汽	zheng qi
挣钱	zheng qian
征求	zheng qiu
争取	zheng qu
证券	zheng quan
政权	zheng quan
证券公司	zheng quan gong si
证券市场	zheng quan shi chang
正确	zheng que
正确的	zheng que de
正如	zheng ru
正式	zheng shi
正是	zheng shi
证实	zheng shi
正式版	zheng shi ban
征收	zheng shou
证书	zheng shu
整体	zheng ti
整天	zheng tian
正文	zheng wen
政务	zheng wu
政务公开	zheng wu gong kai
政协	zheng xie
争议	zheng yi
正义	zheng yi
正在	zheng zai
挣扎	zheng zha
政治	zheng zhi
整治	zheng zhi
争执	zheng zhi
政治部	zheng zhi bu
郑州	zheng zhou
郑州市	zheng zhou shi
症状	zheng zhuang
治安	zhi an
值班	zhi ban
制备	zhi bei
制备方法	zhi bei fang fa
指标	zhi biao
直播	zhi bo
只不过	zhi bu guo
职场	zhi chang
支撑	zhi cheng
职称	zhi cheng
制成	zhi cheng
之称	zhi cheng
支持	zhi chi
支持下	zhi chi xia
指出	zhi chu
支出	zhi chu
之处	zhi chu
之初	zhi chu
至此	zhi ci
之大	zhi da
直达	zhi da
知道	zhi dao
指导	zhi dao
直到	zhi dao
之道	zhi dao
知道了	zhi dao le
指导思想	zhi dao si xiang
指导下	zhi dao xia
知道自己	zhi dao zi ji
值得	zhi de
指的	zhi de
只得	zhi de
织的	zhi de
指的是	zhi de shi
之地	zhi di
质地	zhi di
指点	zhi dian
指定	zhi ding
制定	zhi ding
制订	zhi ding
置顶	zhi ding
指定的	zhi ding de
制订的	zhi ding de
制定的	zhi ding de
制动	zhi dong
制度	zhi du
制度化	zhi du hua
制度建设	zhi du jian she
支队	zhi dui
之多	zhi duo
执法	zhi fa
执法人员	zhi fa ren yuan
脂肪	zhi fang
之分	zhi fen
支付	zhi fu
致富	zhi fu
支付宝	zhi fu bao
质感	zhi gan
职工	zhi gong
直观	zhi guan
支行	zhi hang
只好	zhi hao
之后	zhi hou
滞后	zhi hou
只会	zhi hui
智慧	zhi hui
指挥	zhi hui
指挥部	zhi hui bu
指挥官	zhi hui guan
之际	zhi ji
至极	zhi ji
之家	zhi jia
之间	zhi jian
只见	zhi jian
直接	zhi jie
至今	zhi jin
直径	zhi jing
之类	zhi lei
治理	zhi li
智力	zhi li
致力于	zhi li yu
质量	zhi liang
质量管理	zhi liang guan li
质量监督	zhi liang jian du
质量问题	zhi liang wen ti
治疗	zhi liao
指令	zhi ling
直流	zhi liu
之路	zhi lu
之旅	zhi lv
知名	zhi ming
知名的	zhi ming de
知名度	zhi ming du
指南	zhi nan
之内	zhi nei
支内	zhi nei
只能	zhi neng
职能部门	zhi neng bu men
智能化	zhi neng hua
只能在	zhi neng zai
支配	zhi pei
制品	zhi pin
之前	zhi qian
之前的	zhi qian de
之情	zhi qing
职权	zhi quan
之人	zhi ren
之日	zhi ri
之日起	zhi ri qi
之上	zhi shang
至上	zhi shang
至少	zhi shao
至少有	zhi shao you
之声	zhi sheng
只剩下	zhi sheng xia
只是	zhi shi
知识	zhi shi
之时	zhi shi
指示	zhi shi
致使	zhi shi
指使	zhi shi
之事	zhi shi
之势	zhi shi
知识产权	zhi shi chan quan
知识的	zhi shi de
知识分子	zhi shi fen zi
只是一个	zhi shi yi ge
只是在	zhi shi zai
指数	zhi shu
直属	zhi shu
之所	zhi suo
之所以	zhi suo yi
只听	zhi ting
之外	zhi wai
只为	zhi wei
职务	zhi wu
植物	zhi wu
织物	zhi wu
之下	zhi xia
直辖市	zhi xia shi
直线	zhi xian
只想	zhi xiang
指向	zhi xiang
直销	zhi xiao
之心	zhi xin
执行	zhi xing
之星	zhi xing
执行情况	zhi xing qing kuang
执行时间	zhi xing shi jian
只需	zhi xu
秩序	zhi xu
只需要	zhi xu yao
只要	zhi yao
制药	zhi yao
只要你	zhi yao ni
只要是	zhi yao shi
只要有	zhi yao you
职业	zhi ye
执业	zhi ye
职业病	zhi ye bing
职业道德	zhi ye dao de
职业技能	zhi ye ji neng
职业教育	zhi ye jiao yu
职业培训	zhi ye pei xun
职业资格	zhi ye zi ge
执业资格	zhi ye zi ge
之一	zhi yi
之意	zhi yi
质疑	zhi yi
指引	zhi yin
只用	zhi yong
只有	zhi you
只有一点	zhi you yi dian
只有一个	zhi you yi ge
只有在	zhi you zai
至于	zhi yu
置于	zhi yu
之余	zhi yu
治愈	zhi yu
只愿	zhi yuan
志愿	zhi yuan
支援	zhi yuan
职员	zhi yuan
志愿者	zhi yuan zhe
制约	zhi yue
只在	zhi zai
制造	zhi zao
制造商	zhi zao shang
制造业	zhi zao ye
职责	zhi ze
指责	zhi ze
纸张	zhi zhang
指着	zhi zhe
指针	zhi zhen
执政	zhi zheng
直至	zhi zhi
制止	zhi zhi
之中	zhi zhong
执着	zhi zhuo
制作	zhi zuo
之作	zhi zuo
制作的	zhi zuo de
中部	zhong bu
中不	zhong bu
仲裁	zhong cai
忠诚	zhong cheng
重大	zhong da
中大	zhong da
重大的	zhong da de
重大问题	zhong da wen ti
中的	zhong de
重的	zhong de
中得到	zhong de dao
中等	zhong deng
重点	zhong dian
终点	zhong dian
重点是	zhong dian shi
终点站	zhong dian zhan
中东	zhong dong
中毒	zhong du
终端	zhong duan
中断	zhong duan
众多	zhong duo
众多的	zhong duo de
中方	zhong fang
中共	zhong gong
中共中央	zhong gong zhong yang
中关村	zhong guan cun
中国	zhong guo
中国大陆	zhong guo da lu
中国电信	zhong guo dian xin
中国队	zhong guo dui
中国古代	zhong guo gu dai
中国国际	zhong guo guo ji
中国经济	zhong guo jing ji
中国企业	zhong guo qi ye
中国人	zhong guo ren
中国人民	zhong guo ren min
中国市场	zhong guo shi chang
中国文化	zhong guo wen hua
中国移动	zhong guo yi dong
中国银行	zhong guo yin hang
中国政府	zhong guo zheng fu
中华	zhong hua
中华民族	zhong hua min zu
终极	zhong ji
中级	zhong ji
中级会员	zhong ji hui yuan
中间	zhong jian
中奖	zhong jiang
中介	zhong jie
终结	zhong jie
中介机构	zhong jie ji gou
中来	zhong lai
中了	zhong le
种类	zhong lei
重量	zhong liang
肿瘤	zhong liu
中路	zhong lu
中美	zhong mei
中年	zhong nian
中期	zhong qi
中去	zhong qu
众人	zhong ren
中山	zhong shan
终身	zhong shen
众生	zhong sheng
终生	zhong sheng
重视	zhong shi
忠实	zhong shi
中说	zhong shuo
众所周知	zhong suo zhou zhi
中途	zhong tu
中外	zhong wai
中文	zhong wen
中文版	zhong wen ban
中午	zhong wu
中小	zhong xiao
中小企业	zhong xiao qi ye
中小学	zhong xiao xue
中心	zhong xin
重心	zhong xin
中性	zhong xing
中型	zhong xing
中学	zhong xue
中学生	zhong xue sheng
中旬	zhong xun
中央	zhong yang
中央军委	zhong yang jun wei
重要	zhong yao
中药	zhong yao
重要的	zhong yao de
重要讲话	zhong yao jiang hua
重要内容	zhong yao nei rong
重要思想	zhong yao si xiang
重要性	zhong yao xing
重要意义	zhong yao yi yi
重要组成	zhong yao zu cheng
重要作用	zhong yao zuo yong
中医	zhong yi
中医药	zhong yi yao
中有	zhong you
终于	zhong yu
中原	zhong yuan
种植	zhong zhi
终止	zhong zhi
中止	zhong zhi
中专	zhong zhuan
种子	zhong zi
种族	zhong zu
周边	zhou bian
轴承	zhou cheng
周到	zhou dao
周恩来	zhou en lai
周杰伦	zhou jie lun
周刊	zhou kan
周六	zhou liu
周末	zhou mo
周年	zhou nian
周期	zhou qi
周日	zhou ri
周四	zhou si
周岁	zhou sui
周围	zhou wei
皱纹	zhou wen
周五	zhou wu
周一	zhou yi
主办	zhu ban
主板	zhu ban
主办单位	zhu ban dan wei
珠宝	zhu bao
主编	zhu bian
逐步	zhu bu
注册	zhu ce
注册表	zhu ce biao
注册会员	zhu ce hui yuan
注册码	zhu ce ma
注册商标	zhu ce shang biao
注册时间	zhu ce shi jian
注册用户	zhu ce yong hu
注册资本	zhu ce zi ben
注册资金	zhu ce zi jin
主场	zhu chang
主持	zhu chi
主持人	zhu chi ren
贮存	zhu cun
主导	zhu dao
注定	zhu ding
主动	zhu dong
主动性	zhu dong xing
诸多	zhu duo
住房	zhu fang
祝福	zhu fu
主管	zhu guan
主观	zhu guan
主管部门	zhu guan bu men
主管人员	zhu guan ren yuan
珠海	zhu hai
祝贺	zhu he
主机	zhu ji
逐渐	zhu jian
主讲	zhu jiang
主角	zhu jue
住了	zhu le
助理	zhu li
主力	zhu li
主流	zhu liu
著名	zhu ming
注明	zhu ming
著名的	zhu ming de
逐年	zhu nian
主人	zhu ren
猪肉	zhu rou
诸如	zhu ru
注入	zhu ru
注射	zhu she
注释	zhu shi
助手	zhu shou
住宿	zhu su
住所	zhu suo
主题	zhu ti
主体	zhu ti
主席	zhu xi
注销	zhu xiao
助学	zhu xue
主演	zhu yan
主要	zhu yao
主要包括	zhu yao bao kuo
主要产品	zhu yao chan pin
主要领导	zhu yao ling dao
主要内容	zhu yao nei rong
主要任务	zhu yao ren wu
主要是	zhu yao shi
主要用于	zhu yao yong yu
主要有	zhu yao you
主要原因	zhu yao yuan yin
主页	zhu ye
注意	zhu yi
主义	zhu yi
主意	zhu yi
注意到	zhu yi dao
注意力	zhu yi li
注意事项	zhu yi shi xiang
主营	zhu ying
主营产品	zhu ying chan pin
主营业务	zhu ying ye wu
住院	zhu yuan
住在	zhu zai
铸造	zhu zao
住宅	zhu zhai
主张	zhu zhang
注重	zhu zhong
著作	zhu zuo
著作权	zhu zuo quan
抓好	zhua hao
抓紧	zhua jin
抓住	zhua zhu
转变	zhuan bian
专长	zhuan chang
转到	zhuan dao
转动	zhuan dong
转发	zhuan fa
专柜	zhuan gui
转化	zhuan hua
转化为	zhuan hua wei
转换	zhuan huan
专集	zhuan ji
专辑	zhuan ji
专家	zhuan jia
专家组	zhuan jia zu
专科	zhuan ke
专栏	zhuan lan
专利	zhuan li
专卖	zhuan mai
专卖店	zhuan mai dian
专门	zhuan men
赚钱	zhuan qian
专区	zhuan qu
转让	zhuan rang
专人	zhuan ren
转入	zhuan ru
转身	zhuan shen
转速	zhuan su
专题	zhuan ti
转贴	zhuan tie
转帖	zhuan tie
转为	zhuan wei
专为	zhuan wei
专线	zhuan xian
转向	zhuan xiang
专项	zhuan xiang
专项资金	zhuan xiang zi jin
撰写	zhuan xie
转型	zhuan xing
专业	zhuan ye
专业从事	zhuan ye cong shi
专业化	zhuan ye hua
专业技术	zhuan ye ji shu
专业人士	zhuan ye ren shi
专业人员	zhuan ye ren yuan
专业生产	zhuan ye sheng chan
专业性	zhuan ye xing
专业知识	zhuan ye zhi shi
转移	zhuan yi
转移到	zhuan yi dao
专用	zhuan yong
转载	zhuan zai
专职	zhuan zhi
专注	zhuan zhu
专著	zhuan zhu
转自	zhuan zi
装备	zhuang bei
壮大	zhuang da
状况	zhuang kuang
装配	zhuang pei
装饰	zhuang shi
状态	zhuang tai
状态下	zhuang tai xia
装修	zhuang xiu
装置	zhuang zhi
追究	zhui jiu
追求	zhui qiu
追逐	zhui zhu
追踪	zhui zong
准备	zhun bei
准备工作	zhun bei gong zuo
准确	zhun que
准确性	zhun que xing
准予	zhun yu
准则	zhun ze
着力	zhuo li
桌面	zhuo mian
桌上	zhuo shang
着手	zhuo shou
卓越	zhuo yue
卓越的	zhuo yue de
着重	zhuo zhong
桌子	zhuo zi
资本	zi ben
资本市场	zi ben shi chang
资本主义	zi ben zhu yi
淄博	zi bo
资产	zi chan
资产评估	zi chan ping gu
自从	zi cong
自带	zi dai
子弹	zi dan
字的	zi de
自定义	zi ding yi
自动	zi dong
自动化	zi dong hua
字段	zi duan
资费	zi fei
自费	zi fei
字符	zi fu
自负	zi fu
字符串	zi fu chuan
资格	zi ge
资格证书	zi ge zheng shu
子宫	zi gong
子公司	zi gong si
字号	zi hao
